"ACTIVITY","TASK / DESCRIPTION","FREQUENCY","ASSIGNMENT TARGET"
"Cash count-Vault and ATM","Count the physical cash at vault and compare physical cash with system balance and vault summary sheet. Investigate if there is an overage or shortage. Request for evidence of approval if branch vault limit is exceeded. For ATM, count and compare physical cash in the cassette with system balance and ATM counters. Request for evidence of approval if branch ATM limit is exceeded for week day, weekend and holidays.","Weekly","Cluster Control"
"Vault Management","Confirm and observe the use of dual control and appropriate use of key and combination by authorized persons. Check for the presence of foreign materials in the vault. Non cash related items must be recorded in a register with the details. Review of Vault attendance register. Ensure vault is well illuminated. Inspect for cleanliness.","Weekly","Cluster Control"
"Key register","Confirm if the names of custodians and their backups as well as the keys in their possession are documented. Confirm if the details in the register have been updated with the current key holders.","Weekly","Cluster Control"
"Tellers Call Over","Review all vouchers processed to detect and correct errors. Confirm if payment instruments have been verifed and the right stamps (paid, received and signature verification) are appended as well as the signature of the processing officer on the stamp. Check if cheque is postdated/outdated, amount in words and figures are the same and alterations signed against. Confirm if cheque payment above GHS5000 and deposit above GHS150,000 has been signed by the BSS as evidence of review. Confirm if mobile money withdrawal above GHS5000 and mobile money deposit above GHS100,000 has been signed by the BSS as evidence of review. Confirm indemnity in the CBA for transactional request sent via email, SMS and WhatsApp. Confirm if transactions are posted into the correct account.","Daily","Cluster Control"
"ATM Management","Use of dual control and appropriate use of key and combination by authorized persons. Inspect for cleanliness. Review of ATM attendance register. Ensure room is well illuminated.","Weekly","Cluster Control"
"Vault Summary Sheet","Review the vault summary sheet to confirm if the denominations match with the denominations in retail and physical cash. Investigate if there is any disparity. Review vault GL to confirm balances. Review Cash In Transit form. Confirm if the sheet has been duly completed and signed by the BSS and BM. Sheets should be filed neatly on daily basis.","Weekly","Cluster Control"
"Cash Open and Cash Close Slips","Review to confirm amount received/sent to vault tallies with the information on the cash open/close slips. Review to confirm if all amount received/sent to vault per transaction during the day has a supporting document (cash open/close slips) to reflect the same amount in the gl. Review the cash open and close slip to confirm if the amount in figures matches with the amount in words. Confirm if the sheets have been duly completed and signed by the Teller and BSS.","Weekly","Cluster Control"
"ATM Reconciliation Reports","Confirm if ATM reconciliation reports are prepared daily and filed. Confirm if all outstanding differences are identified and the accuracy of the transactions captured as difference in the report by reviewing the journal/ATM GL. Confirm if cash taken from the cassette is credited to the tellers till before replenishment.","Weekly","Cluster Control"
"Account Open","Request for account opening packs or documentation. Review for completeness. Ensure all information captured in the account pack have been accurately captured in the CBA. Confirm the availability of required documentation (refer to checklist at the back of account pack) and any other regulatory requirement as per the nature of business. Confirm initial deposit per tariff guide (Request for approval to open zero balance account in exceptional circumstances). Confirm if all products/services selected by the customer have been requested.","Daily","Cluster Control"
"Request for Statement","Evidence of request on file. Completion and review of forms (application of all necessary stamps, date, customer signature, number of pages). Availability of funds to facilitate a successful debit of customer's account. Review customer's account and commission GL to confirm if applicable charges have been applied. Customer request is recorded in register and signed by all parties. Authority note and Ghana card verification should be sighted on file for statement received by third party. CCO should ensure that all statement request via mail is recorded in the register.","Weekly","Cluster Control"
"Request for Counter Cheque","Evidence of request on file and cheque book. Completion and review of forms (application of all necessary stamps). Check if counter cheque is serially issued. Destroyed counter cheque should be cancelled and recorded in the register. Review customer's account and commission GL to confirm if applicable charges have been applied. Customer request is recorded in register and signed by all parties.","Weekly","Cluster Control"
"Request for cheque book","Evidence of request on file and receipts of orders. Completion and review of forms (application of all necessary stamps). Review customer's account and commission GL to confirm if applicable charges have been applied.","Weekly","Cluster Control"
"Request for ATM card","Request for ATM request file and acknowledgement receipt. Completion and review of forms (application of all necessary stamps). Review customer's account and commission GL to confirm if applicable charges have been applied. Customer request is recorded in register and signed by all parties.","Weekly","Cluster Control"
"Dormant Account Activation","Evidence of reactivation form on file. Confirm the capturing of updated information in the CBA. Review customer account to confirm deposit for the reactivation. Confirm if customers details has been captured in the register.","Weekly","Cluster Control"
"Stop cheque requests","Evidence of request on file. Confirm if cheque has been stopped in the CBA and applicable charge taken. Review customer's account and commission GL to confirm if applicable charges have been applied. Customer request is recorded in register and signed by all parties.","Monthly","Cluster Control"
"Account Closure","Evidence of request and approval. Retrieval of cheque book. Ensure that unused cheque numbers are cancelled. Confirm if account has been closed and all cheque book and cards retrieved. Confirm account of all deceased customers with Letters of Administration on file are closed. Customers details should be captured in the register.","Monthly","Cluster Control"
"Cheque book review","Inspection of cheque book stock. Spool cheque book request report from OBI. Confirm the application of cheque book commission charge on request on file. Approval should be sighted for cheque book not charged. Overaged books (1 year and above) are treated per the Operational Policy. Reconcile physical cheque book receipts of orders and acknowledgement advise. Confirm if cheque book has been received in the CBA. Confirm if cheque book has been delivered in the CBA if it is in the possession of the customer. Cheque Acknowledgement advice and register.","Weekly","Cluster Control"
"ATM Cards/Pins","Inspection of ATM card stock by comparing it with indigo platform or receipts capturing the card details and the number sent to the branch by E.Business. Confirm all requested ATM cards are recorded in the register. Ensure that the PAN number has been masked in the register. Verify customer's signature on the ATM issuance receipts to confirm if it is consistent with signature in CBA. Confirm that card delivery form sign-off by the officer and customers is filed for all third party collection by RM's/RO's.","Weekly","Cluster Control"
"Captured ATM Cards","All captured cards must be recorded in the register and treated per bank's policy. Overaged captured ATM Cards (6 months and above) are treated per BOG guideline.","Monthly","Cluster Control"
"E-Products request file","Evidence of request on file (Mobile and Internet Banking, SMS, Ghana Pay, POS Merchant, Freedom, E-Zwich etc). Treatment of request in the CBA. Review to confirm applicable charge. Verify customer's signature to confirm if it is consistent with signature in CBA.","Weekly","Cluster Control"
"Fixed Deposit/Term Deposit","Evidence of request on file. Verify customer's signature to confirm if it is consistent with signature in CBA. Spool report to compare with request. Review to confirm if the FD has been booked with the right amount and rate. Confirm if disposal instructions on maturity have been applied. Ensure certificates are attached to requests. There must be evidence of approval if FD has been booked above board rate. Request is recorded in register and signed by all parties.","Weekly","Cluster Control"
"Liquidation of Fixed Deposit","Evidence of request on file. Verify customer's signature to confirm if it is consistent with signature in CBA. Ensure that the interest is paid in line with the Bank's policy on premature liquidation of FDs. Confirm if the penal charges has been applied. Request is recorded in register and signed by all parties.","Monthly","Cluster Control"
"Treasury Bill","Check for evidence of request on file. Verify customer's signature to confirm if it is consistent with signature in CBA. Confirm if T-Bill has been booked and customer's account debited with the right amount. Confirm if disposal instructions on maturity have been applied. Ensure certificates are attached to requests.","Weekly","Cluster Control"
"Payment Order","Check for evidence of request on file. Check for completeness of request and verify customer's signature to confirm if it is consistent with signature in CBA. Confirm if customer's account has been debited with PO amount and commission taken per the approved tariff guide. Check for evidence of approval in cases where the maximum amount is exceeded i.e. GHS30,000. Ensure that the right persons have signed on the PO leaflet and stub. Review PO GL to confirm balance.","Weekly","Cluster Control"
"Standing Order","Check for evidence of request on file. Verify customer's signature to confirm if it is consistent with signature in CBA. Ensure that the right entries are passed by ensuring that start date, amount, tenor and end date are captured accurately. Evidence of discontinuation of standing order should be sighted on file.","Monthly","Cluster Control"
"Returned Cheques","All returned cheques must be recorded in the register. Spool settlement sheet/report from XNETT to aid in review.","Daily","Cluster Control"
"Back Office Call Over","Review all vouchers processed to detect and correct errors. Confirm if payment instruments have been verified and the right stamps (received and signature verification) are appended as well as the signature of the processing officer on the stamp. Check if cheque is postdated/outdated, amount in words and figures are the same and alterations signed against. Confirm indemnity in the CBA for transactional request sent via email, SMS and WhatsApp.","Daily","Cluster Control"
"Branch Registers","Ensure that all mandatory registers are kept and updated in line with the bank's approved template. Confirm evidence of weekly review of registers by BSS.","Weekly","Cluster Control"
"Display of regulatory notices(TV)","Ensure that all regulatory licenses and certificates are displayed and renewed per BOG directives.","Monthly","Cluster Control"
"GL review","Review the branch's GLs daily by using the trial balance as guide. Check if transactions were posted to the appropriate GLs. Confirm/investigate GLs with balances that are supposed to be zeroed by EOD. Investigate all income gl's with negative balances. Investigate vault with positive balances. Check if transactions processed into the expense gl are within branch limit or with approvals.","Daily","Cluster Control"
"Monthly GL proof","Review the GL proofs submitted by Reconciliation department. Check for correctness and accuracy of GL balances captured in the proof report as at close of the month by comparing with OBI. Check for discrepancies/unexplained outstanding entries on proof. Check for correct preparation date captured in the proof. Respond with exceptions if any for correction and update of proof report.","Monthly","Cluster Control"
"Physical Security","Ensure that all physical security items are in place and functioning (CCTV, panic alarms, smoke detectors, biometric devices, fire alarm panel, fire extinguisher).","Weekly","Cluster Control"
"CCTV","Confirm if cameras are covering all sensitive areas and recording live footages. Confirm if display monitor is working. Confirm if CCTV can playback a minimum of 90 days.","Weekly","Cluster Control"
"Police & Security","Review to confirm attendance of Police and Security Guards (Name, date, time in/out and signature).","Monthly","Cluster Control"
"Branch Ambience","Inspect branch for cleanliness of walls, building and branding defects. Inspect security post for cleanliness.","Weekly","Cluster Control"
